Sr. No,Newspaper Name,Published Date,URL,Headline,Content,Human Summary,Category
31,The Arunachal Times,06/12/2023,https://arunachaltimes.in/index.php/2022/12/06/tadar-tang-football-west-siang-secure-qfs-berth/,Tadar Tang Football: West Siang secure QFs berth,"West Siang secured a quarterfinals berth from Group C in the 19th Tadar Tang State Level Football Tournament, after edging past Papum Pare 1-0 in a Group C match here in Lower Subansiri district on Monday.

Momik Ada scored the goal in the additional time (95th minute).

Tawang and Papum Pare will lock horns with each other the day after tomorrow.
The top two teams from each group will advance to the knockout round.

Host Lower Subansiri, who were handed a 1-4 defeat by Kra Daadi in the tournament opener, came back strong and registered a convincing 3-0 win over Shi-Yomi in a Group A match in Hapoli.

All goals came in the second half. Taug Sera scored a brace (51st & 78th min), while Kon Tolu netted the third goal in the 85th minute.

Defending champion Kurung Kumey, who suffered a shock 0-1 defeat against Namsai in their first match on Sunday, beat Upper Subansiri 2-0 in Group B on Monday.

Tamchi Tassung and Tarh Dolu scored one goal each in the 36th and the 50th minute, respectively.

Earlier, East Kameng clinched a thumping 5-0 victory over Namsai in Group B.

Karan Tallang scored a hat-trick of goals (14th, 30th and 81st min), while Karling Paffa (45th min) and June Dodum (79th min) scored the other goals.

Today’s matches

At Hapoli: East Siang vs Changlang (10 am); Kra Daadi vs Shi-Yomi (1:15 pm).

At Ziro: Namsai vs Upper Subansiri (10 am); Lower Subansiri vs Siang (1:15 pm).","West Siang secured a quarterfinal spot from Group C in the 19th Tadar Tang State Level Football Tournament by narrowly defeating Papum Pare 1-0. The decisive goal came in the 95th minute from Momik Ada. In Group A, host Lower Subansiri bounced back from a 1-4 defeat in the opener to beat Shi-Yomi 3-0, with Taug Sera scoring twice and Kon Tolu adding a third goal. Defending champions Kurung Kumey redeemed themselves with a 2-0 victory over Upper Subansiri in Group B. East Kameng dominated Namsai with a 5-0 win, featuring a hat-trick by Karan Tallang. Upcoming matches include East Siang vs Changlang and Kra Daadi vs Shi-Yomi in Hapoli, as well as Namsai vs Upper Subansiri and Lower Subansiri vs Siang in Ziro.",Sports
32,The Arunachal Times,30/11/2023,https://arunachaltimes.in/index.php/2022/12/06/tadar-tang-football-west-siang-secure-qfs-berth/,Winter welcomes birds to DEWS,"With the onset of winter, migratory birds, including the ruddy shelduck (Tadorna ferruginea), the great cormorant (Phalacrocorax carbo), the common merganser, the Indian skimmer, the white-winged wood duck, and many other colourful water birds have started flocking to the water bodies of the Daying Ering Wildlife Sanctuary (DEWS) in East Siang district since the second week of November, attracting special attention of the wildlife officials and nature lovers.

Though wildlife officials used to witness the arrival of the avian visitors to the area during December, January or early February each year, the winged guests have arrived early this year. Several flocks of birds, most of which have migrated from Siberia and Mongolia, were seen in various water bodies of the sanctuary from the second week of November.


Apart from migratory birds, a large number of grassland-dependent bird species, such as the swamp francolin (Francolinus gularis), the Jerdon’s babbler (Chryssoma altirostre), the swamp prinia, and the black-breasted parrotbill (Paradoxornis flavirostris) are also found in the sanctuary’s grassland.

As per record, over 150 bird species have been reported, including endangered birds like the Bengal florican (Houbaropsis bengalensis). The most recent estimate is of 60-70 pairs, as per the BNHS.

The DEWS is located near Pasighat, the headquarters of East Siang district, and covers an area of approximately 190 square kms. It is sandwiched between the Siang and the Sibya rivers in East Siang district. The sanctuary lies in the low-altitude floodplains on the boundary of Arunachal Pradesh and Assam.

The sanctuary has extensive floodplain grasslands (about 80 percent). Saccharum spontaneum, S arundinaceum and Neyraudia reynaudina are the main grass species, and sedges such as cyperus sp also occur. Other habitat types include riverine forests with tree species such as Terminalia myriocarpa, Bombax ceiba and Dillenia indica.

The sanctuary is known for its rich biodiversity and has been regaining its past glory in the last four years, thanks to the intensified round-the-clock patrolling and intensive action against hunters and poachers, including timber mafias, by the present sanctuary authority.


The sanctuary authority has a limited number of staffers, most of whom are in casual/contingency positions and have been serving at the sanctuary for the last 30 years, besides other recently recruited ones.

In our committed effort to secure the sanctuary from hunting and other illegal activities to revive the sanctuary in the real sense, we have seized more than 20 guns, and around 30 hunters/poachers have been arrested in the last four years.

In the process of protecting the sanctuary in the true sense, some serious actions were needed, despite public opposition and reaction (mostly from those who sympathise with hunters and support hunting), but we did it even by banning fishing activities of the public and fishermen engaged by local fish mahaldars deep inside the sanctuary, as many people were found laying cable traps and even hunting on the pretext of fishing in the sanctuary’s rivers in the past.

Apart from intensified patrolling, our field staff and officials, and the Eco-Development Committee members, are constantly mobilising the people of the fringe areas to protect the flora and fauna of this riverine island sanctuary, which is necessary for maintaining the ecology of the region for larger human interest. (Tasang Taga is DFO, DEWS, Pasighat.)","Migratory birds have begun arriving early this year at the Daying Ering Wildlife Sanctuary (DEWS) in East Siang district, Arunachal Pradesh, attracting nature enthusiasts and wildlife officials. Species like the ruddy shelduck, great cormorant, common merganser, and Indian skimmer are among the early visitors, most migrating from Siberia and Mongolia. The sanctuary, known for its rich biodiversity, also supports grassland species such as the swamp francolin and Jerdon’s babbler, with over 150 bird species recorded, including the endangered Bengal florican.

Located near Pasighat, the sanctuary spans 190 square kilometers between the Siang and Sibya rivers. Its habitats include extensive floodplain grasslands and riverine forests, housing tree species such as Terminalia myriocarpa and Bombax ceiba.

Over the past four years, the sanctuary has seen significant conservation efforts, including increased patrolling and anti-poaching measures. More than 20 guns have been seized, and 30 poachers arrested, despite public opposition to some measures, such as banning fishing. The sanctuary’s authorities, along with Eco-Development Committee members, are working to protect the wildlife and maintain the ecological balance of the region.",Environment
33,The Arunachal Times,13/09/2022,https://arunachaltimes.in/index.php/2022/09/13/china-is-not-trustworthy-in-recognising-lac/,China is not trustworthy in recognising LAC,"The decision on phased withdrawal of Indian and Chinese troops from one of the friction areas in the Ladakh region is a positive development, but there is no reason to drop the guard as Beijing refuses to recognise the status quo as it existed in April 2020, when the current military standoff began. China also continues to behave belligerently. The recent act of carrying out construction activities inside Indian territory at Chaglagam in Anjaw district shows that China is still aggressively behaving along the line of actual control (LAC).

The agreement on disengagement of frontline troops in the Hot Springs area along the LAC came after months of protracted negotiations between the military commanders of the two countries. The Chinese created many obstacles in the talks.

While the move is the right step towards restoration of peace, there is a need to resolve all pending border disputes once and for all, as suggested by the Indian side. China continues to complicate the matters by claiming that the status quo was created by “illegal trespassing on the Indian side” – a contention that goes against the ground realities. Restoration of the status quo and the violation of agreements and protocols for border management through China’s action of amassing troops along the LAC are among the key issues raised by New Delhi. Hot Springs is only the third friction point where the two countries have agreed on the disengagement of troops during the 16th round of corps commander level meeting, but the bigger problems at the friction points of Depsang and Demchok remain to be addressed, largely due to the intransigence of the Chinese side.

China has persistently refused to accept these two locations as friction points, contending that they are not part of the current face-off. The site of the latest disengagement is near the area where at least 20 Indian and four Chinese soldiers were killed in the June 2020 clash. With the PLA trying to shift the LAC westwards, the unresolved areas could turn into new flashpoints. A new crisis in eastern Ladakh or elsewhere along the LAC would undo the gains made in the form of disengagement over the last two years.","The phased withdrawal of Indian and Chinese troops from the Hot Springs area in Ladakh is a positive step towards de-escalation, but India remains cautious as China refuses to recognize the pre-April 2020 status quo. Despite negotiations, China continues aggressive actions, including construction inside Indian territory in Anjaw district, indicating ongoing tensions along the Line of Actual Control (LAC).

While the disengagement in Hot Springs marks progress, larger unresolved issues at key friction points like Depsang and Demchok remain due to China's refusal to acknowledge them as part of the current standoff. India's focus is on restoring the status quo and addressing China's military build-up along the LAC, which could trigger new flashpoints if left unresolved. The disengagement efforts must be consolidated, but ongoing tensions require vigilance to prevent future crises.",International News
34,The Arunachal Times,30/04/2022,https://arunachaltimes.in/index.php/2022/04/30/china-to-permit-some-indian-students-to-return/,China to permit ‘some’ Indian students to return,"China on Friday announced plans to permit the return of “some” Indian students stranded in India for over two years following the visa and flight restrictions imposed by Beijing due to the Covid-19 pandemic.

Chinese Foreign Ministry spokesman Zhao Lijian told a media briefing here that China attaches high importance to Indian students’ concerns about returning to China for studies.

“We have shared with the Indian sides the procedures and experience of other countries’ students returning to China. Actually, the work for Indian students’ return has already been started.

All that remains to be done is for the Indian side to provide the list of students who really need to come back to China,” he said.

As per earlier reports, over 23,000 Indian students, mostly studying medicine in Chinese colleges, are stuck in India after they returned home as the coronavirus broke out in China in December 2019. They could not return to China due to the restrictions imposed by the Chinese government to arrest the spread of the contagion.

Since then, they made desperate attempts to return to China to rejoin their classes but had to confine to online classes as Beijing cancelled all flights and visas for Indians.

Besides the students, hundreds of families of Indians working in China too were stuck back home in view of China cancelling visas and flights from India.

“We understand that there is a large number of Indian students studying in China. India may need some time to collect the names. China is ready to receive some of Indian students under the current complicated severe epidemic situation. In handling foreign students returning to China for studies, we need to take into consideration the international epidemic situation, the evolving circumstances, and their majors. This principle applies equally to all foreign students,” Lijian said.

Asked about the timeline to permit the return of Indian students, Lijian said that the Chinese embassy in India and existing channels will work to facilitate and offer convenience to the students.

To a question whether China has provided any criteria to India to select students to return, Lijian said: “I don’t have the information about the specifics you asked, but I am sure these details will be sorted out through communication through existing channels, including the embassy, so that we will actually deliver the good news.”

Following the Chinese announcement, the Indian embassy here sought the details of the students intending to return.

Following the meeting of India’s External Affairs Minister S Jaishankar with China’s Foreign Minister Wang Yi on 25 March, 2022, the Chinese side has expressed its willingness to consider facilitating the return of Indian students to China on a need-assessed basis, the Indian embassy here said in a statement.

“In order to facilitate this (return), the Indian embassy intends to prepare a list of such students which will be shared with the Chinese side for their consideration. Therefore, Indian students are requested to provide necessary information by filling up the Google form at this link (https://forms.gle/MJmgByc7BrJj9MPv7), latest by 8 May, 2022,” it said.

Once the collated information is shared with the Chinese side, they would consult relevant Chinese departments to verify the list and indicate whether the identified students can travel to China to complete the course, the statement said.

This coordination process would be carried out in a time-bound manner, it said.

The Chinese side has also conveyed that eligible students should unconditionally abide by the Covid-19 prevention measures, and agree to bear all expenses related to Covid-19 prevention measures by themselves, it said.

In recent months, China has been permitting students from some friendly countries like Pakistan, Thailand, the Solomon Islands and recently Sri Lanka to return but remained silent about allowing Indian students as well as hundreds of family members of Indians working in China to travel back. (PTI)","China has announced plans to allow the return of some Indian students who have been stranded in India for over two years due to Covid-19 restrictions. Chinese Foreign Ministry spokesman Zhao Lijian stated that the process for Indian students’ return has begun, and China is awaiting a list of students from India who need to return. Over 23,000 Indian students, mainly studying medicine in China, have been stuck since 2019.

China had previously permitted students from friendly nations to return but had not addressed Indian students' concerns until now. Indian authorities have been asked to submit the necessary details to facilitate their return. Students will need to follow China’s Covid-19 prevention measures and bear related costs.",International News
35,The Arunachal Times,01/02/2022,https://arunachaltimes.in/index.php/2022/02/01/stolen-bikes-properties-recovered-10-arrested/,"Stolen bikes, properties recovered; 10 arrested","PASIGHAT, 31 Jan: Thirteen stolen bikes and other properties like camera, laptop, gas cylinder, etc, were recovered during an intensive investigation carried out by the police over the last 10 days in connection with Case No 08/22 of the police station here in East Siang district.

The initial breakthrough was made with the recovery of a stolen motorcycle from Ruksin. From there, other persons involved were traced, and


the stolen items were recovered from them. The majority of the bikes were recovered from Pasighat area and other districts of Arunachal and Assam.

Ten persons have been arrested in this case, including three persons who were receivers of stolen bikes.

The case was cracked by a police team led by SIs Rotom Echu and Aditya Chandra, under the supervision of DSP Tapang Tatak","In Pasighat, police have recovered 13 stolen bikes and various other stolen items, such as a camera, laptop, and gas cylinder, over a 10-day investigation related to Case No 08/22 in East Siang district. The breakthrough came when a stolen motorcycle was found in Ruksin, leading to the identification of others involved. Most of the stolen items were recovered from Pasighat and neighboring districts in Arunachal Pradesh and Assam. Ten individuals, including three receivers of stolen bikes, have been arrested. The case was handled by a police team led by SIs Rotom Echu and Aditya Chandra, under DSP Tapang Tatak's supervision.",Crime and Justice
36,The Arunachal Times,26/01/2022,https://arunachaltimes.in/index.php/2022/01/26/one-more-succumbs-to-covid_19-death-toll-reaches-284/,"One more succumbs to Covid-19, death toll reaches 284"," A 79-year-old Covid-19 positive man from Lohit district died at the DCHC in Tezu late night on Monday, which was reflected in the Covid bulletin on Tuesday. With this, the state’s death toll has reached 284.

As per the DHS report, the patient had comorbidity and had tested Covid-19 positive through RAT at the zonal hospital in Tezu on 22 January. He had then been admitted to the DCHC on the same day.

The antecedent cause of death was cerebrovascular accident and the immediate cause of death was acute respiratory distress syndrome along with unconsciousness.

The patient was fully vaccinated.

Meanwhile, the state on Tuesday reported 526 Covid-19 positive cases, of whom 278 are symptomatic.

The ICR reported the highest 225 Covid-19 cases, followed by 42 cases in Lower Subansiri and 38 cases in Namsai.

With 70 percent, Shi-Yomi reported the highest positivity rate in the state.

A total of 375 patients were declared recovered or discharged on Tuesday.","A 79-year-old man from Lohit district died due to Covid-19 complications in Arunachal Pradesh. He had tested positive on January 22 and was admitted to the DCHC in Tezu. The state's death toll has now reached 284. On Tuesday, Arunachal Pradesh reported 526 new Covid-19 cases, bringing the total number of active cases to 4,290.",Health and Wellness
37,The Arunachal Times,03/01/2022,https://arunachaltimes.in/index.php/2022/01/03/after-rubber-and-oil-palm-farmers-eyeing-mahogany-farming/,"After rubber and oil palm, farmers eyeing mahogany farming","After rubber and oil palm cultivation, the farmers here in East Siang district are eyeing mahogany tree farming.

About 20 farmers of Ngorlung village have started mahogany (Swietenia mahagoni) plantation in 30 hectares of land at Ngorlung Moruk, near the Industrial Growth Centre in Ngorluk.

One of the farmers, Ajom Tarang (50), of Ngorlung village, said that an Itanagar-based NGO inspired him to adopt mahogany cultivation on a commercial basis. The NGO also conducted a training programme on mahogany tree farming at Ruksin and supervised the plantation activities at the initial stage.

Tarang said that he has successfully grown 5,000 trees in his farmland and the saplings are now four years old.

 The farmers urged the state government to prepare a scheme to help the mahogany planters, considering the importance of the tree species.

Mahogany is considered one of the most priced timber trees in India. It grows to 60 metres in height and can have a trunk diameter measuring up to 4 to 5 metres. One thousand plants can fetch an income of about Rs 1 crore in 10 years.

The seeds are also sold at a high price as these are used to produce medicines and cosmetics.

Swietenia mahagoni, commonly known as American mahogany or small-leaved mahogany, belongs to the meliaceae family and is native to the tropical areas of south Florida in the United States and the islands of the Caribbean, including the Bahamas, Cuba, Jamaica, and Hispaniola. It is commercially imported for its best quality timber with high durability and water resistance property.","Farmers in East Siang district are turning to mahogany tree farming, following rubber and oil palm cultivation. Around 20 farmers from Ngorlung village have planted mahogany on 30 hectares of land, inspired by an Itanagar-based NGO that provided training and supervision. One farmer, Ajom Tarang, has successfully grown 5,000 trees, now four years old. They are seeking state support for mahogany cultivation, as the tree is highly valued for its durable timber and seeds used in medicine and cosmetics. Mahogany can grow up to 60 meters tall and is expected to yield around Rs 1 crore from 1,000 plants in 10 years.",Agriculture
38,The Arunachal Times,25/12/2021,https://arunachaltimes.in/index.php/2021/12/25/about-20000-refugees-sought-shelter-and-at-least-414-refugees-arrested-during-2021-in-india-rrag/,"About 20,000 refugees sought shelter and at least 414 refugees arrested during 2021 in India: RRAG","Releasing its report, ‘India: The status of refugees – 2021’, the Rights and Risks Analysis Group (RRAG) stated that in 2021, about 20,000 refugees, including 18,000 from Myanmar, mostly Chins, took shelter in India and 4,557 Afghan refugees were in India on long-term visas (LTV) as on December 2021.

“There is no accurate data on the number of refugees, but India has about 4,00,000 refugees, including 2,38,222 recognized and documented refugees, ie, Sri Lankan refugees, Tibetan refugees and refugees recognized by the United Nations High Commissioner for Refugees (UNHCR), about 31,313 refugees belonging to minority communities from neighbouring countries who have been given LTVs on the basis of their claims of religious persecution and want Indian citizenship, and about 1,23,000 unregistered Chin and Rohingya refugees,” said RRAG director Suhas Chakma in a release.

In 2021, at least 414 refugees, mainly from Myanmar, ie, about 354 Rohingyas and 60 Chins and other ethnic Myanmarese nationals, were arrested by police in various states of India. The highest number of arrests was reported from Jammu & Kashmir with 174, followed by Delhi (95), Assam (55), Manipur (30), Uttar Pradesh and Haryana (19 each), West Bengal (13), Telangana (6) and Tripura (3). “Non-Myanmarese refugees like the Tibetans and Sri Lankan Tamils do not face such arrest and detention for illegal entry into India,” Chakma said.

“Given that no refugee law exists in India, the treatment of refugees is guided by geo-political interest and vote bank politics,” he said.

“While India extends full support to the Tibetan refugees and the Sri Lankan Tamil refugees, including welfare measures worth Rs 317.40 crores announced by the Tamil Nadu government in August 2021, India targets refugees from other countries, in particular the Rohingyas. While Chin refugees from Myanmar received modicum of protection including non-refoulement, at least 1,177 Rohingya immigrants were arrested/detained or rescued from trafficking by police in different states during 2017-2021. These arrests included 386 in West Bengal, 187 in Jammu & Kashmir, 141 in Telangana, 123 in Tripura, 98 Rohingyas in Delhi, 98 in Assam, 53 in Manipur, 35 in Mizoram, 19 each in Haryana and Uttar Pradesh, seven in Karnataka, eight in Kerala, and three in Rajasthan,” he said.

“The response of the Supreme Court of India on the Rohingya refugees remained wanting. On 8 April, 2021, the Supreme Court in a departure declined to issue direction to the union of India and Jammu & Kashmir administration to release the 168 Rohingya refugees detained at a sub-jail in Jammu. It merely directed not to deport any of them to Myanmar without the procedure prescribed for such deportation, despite the risks of torture and non-acceptance by Myanmar itself. The question remains as Myanmar does not accept the Rohingyas, will India detain the refugees forever waiting deportation with the sanction of the Supreme Court?” Chakma said.

He said that the Covid-19 pandemic had a ravaging impact on different refugee communities in India. “The UNHCR’s ‘cash-based assistance’ has been found to be highly inadequate both in scale and coverage. Nearly 56 percent Rohingya refugees living across India lost employment due to the pandemic. As many as six Chin refugees succumbed to Covid-19 infection during the second wave of the pandemic, often without any medical care in government hospitals because they lacked the documentation or money required for private hospitalization. For vaccination against Covid-19, registration with CoWin platform requires use of the government-approved identity card such as an Aadhaar card, passport, permanent account number, etc. The refugees, especially the unrecognized and undocumented ones, are not eligible for these documents and further, private healthcare services are inaccessible due to high costs.

“The taking over of Afghanistan by the Taliban on 15 August, 2021 exposed inadequacy of India’s controversial Citizenship Amendment Act (CAA) to protect any asylum seeker belonging to minority communities from the war ravaged nation. The Afghan Sikh and Hindu minorities, including lawmakers Anarkali Kaur Honaryar and Narender Singh Khalsa, are not eligible for protection under the CAA applicable as they have not entered India on or before 31.12.2014, the date set by the CAA.

“Further, dozens of lawmakers from Afghanistan and Myanmar have taken shelter in India during 2021 and they remain excluded from any protection measure.

“The refugees shall continue to flee to India. Unless India adopts a refugee law, the asylum seekers shall not register with the government of India for mere deportation. This will not address the security concerns and will close the possibility for any repatriation. The absence of any refugee law is counter-productive. India needs to enact a refugee law,” said Chakma.","According to the Rights and Risks Analysis Group (RRAG) report, ""India: The Status of Refugees – 2021,"" around 20,000 refugees, primarily from Myanmar, and 4,557 Afghan refugees were in India by December 2021. The total number of refugees in India is estimated at 400,000, including recognized and unregistered individuals. The report highlights that while Tibetan and Sri Lankan Tamil refugees receive support, Rohingyas face arrests and detention. The Supreme Court has been criticized for its handling of Rohingya cases. The COVID-19 pandemic exacerbated refugee hardships, revealing gaps in assistance and access to healthcare. The report calls for India to enact a refugee law to better address and protect asylum seekers.",Human Interest
39,The Arunachal Times,25/06/2021,https://arunachaltimes.in/index.php/2021/06/25/china-to-operationalize-first-electric-train-in-tibet/,China to operationalize first electric train in Tibet,"China is all set to operationalize the first electric train in the remote Himalayan region of Tibet, connecting the provincial capital Lhasa with Nyingchi – a strategically located Tibetan border town close to Arunachal.

The 435.5-km Lhasa-Nyingchi section of the Sichuan-Tibet Railway is expected to be inaugurated ahead of the centenary celebrations of the ruling Communist Party of China (CPC) on 1 July, according to official media reports.

The electricity transmission process has been completed and tested, Liu Yuxiang, Chief Engineer of the Lhasa-Nyingchi Railway, was quoted as saying by the state-run CCTV earlier.

The Sichuan-Tibet Railway will be the second railway into Tibet after the Qinghai-Tibet Railway. It will go through the southeast of the Qinghai-Tibet plateau, one of the world’s most geologically active areas.

In November, Chinese President Xi Jinping had instructed officials to expedite construction of the new railway project, connecting Sichuan province and Nyingchi in Tibet, saying the new rail line would play a key role in safeguarding the border stability.

The Sichuan-Tibet Railway starts from Chengdu, capital of Sichuan province, and travels through Ya’an and enters Tibet via Qamdo, shortening the journey from Chengdu to Lhasa from 48 hours to 13 hours.

Nyingchi is a prefecture-level city of Medog, which is adjacent to the Arunachal border.

China claims Arunachal as part of South Tibet, which is firmly rejected by India. The India-China border dispute covers the 3,488-km-long line of actual control (LAC).

Qian Feng, director of the research department at the National Strategy Institute at Tsinghua University, told the official daily Global Times earlier that “If a scenario of a crisis happens at the China-India border, the railway will provide a great convenience for China’s delivery of strategic materials.” (PTI)","China is set to launch its first electric train in Tibet, connecting Lhasa with Nyingchi, a border town near Arunachal Pradesh. The 435.5-km Lhasa-Nyingchi section of the Sichuan-Tibet Railway is expected to be operational by July 1, ahead of the Communist Party of China’s centenary celebrations. The railway will reduce travel time from Chengdu to Lhasa from 48 to 13 hours and is intended to bolster border stability. Nyingchi, close to Arunachal Pradesh—which China claims as part of South Tibet—will be strategically important for China. The new rail link is expected to enhance China's ability to deliver strategic materials in case of a border crisis with India.",International News
40,The Arunachal Times,23/11/2021,https://arunachaltimes.in/index.php/2021/11/23/governor-meets-tourism-promoter-youths/,Governor meets tourism promoter youths,"Governor BD Mishra met a team of Idu Mishmi youths from Dibang Valley district, which is promoting tourism and visits to the Emudu Seven Lakes in Dibang Valley, at the Raj Bhavan here on Monday.

The governor commended the youths, led by Jimu Mele, for their spirit of entrepreneurship, and said that the tourism sector in Arunachal Pradesh has huge scope for startup projects.

“If properly taken up, such enterprises have great potential for public employment and work,” he said.

Impressed by the “self-employment and job providing spirit of the team,” the governor said that other youths of the state should emulate the young team.

Mishra advised the youths to “identify attractive destinations to further develop the amenities and logistic arrangements for tourists.” He also suggested creating publicity around the venture through various platforms to attract adventure seekers and trekkers from different parts of the world.

“As service providers, the entrepreneurs must take full care of the necessities of the clients,” he said.

Mele, along with senior journalist and trekking enthusiast Taba Ajum briefed the governor on the Emudu Seven Lakes Trekkers’ activities, and informed that their trekking season starts in July and ends in October. (Raj Bhavan)",Governor BD Mishra met with Idu Mishmi youths from Dibang Valley who are promoting tourism to the Emudu Seven Lakes. He praised their entrepreneurial spirit and highlighted the tourism sector's potential for job creation in Arunachal Pradesh. Mishra encouraged the team to enhance amenities and logistics for tourists and to use various platforms for publicity. The trekking season for the Emudu Seven Lakes starts in July and ends in October.,Tourism
41,The Hindu,09/07/2022,https://www.thehindu.com/news/international/xi-condoles-abes-death-hails-contribution-to-ties/article65620478.ece,"Xi condoles Abe’s death, hails contribution to ties","China’s President Xi Jinping on Saturday sent a message of condolence to Japanese Prime Minister Fumio Kishida in the wake of the death of former Prime Minister Shinzo Abe.

Mr. Xi “pointed out that former Prime Minister Shinzo Abe made efforts to improve China-Japan relations when he was in office and contributed positively to this endeavour”, the Chinese Ministry of Foreign Affairs said, adding that he “noted that he had reached important common understanding with Abe on building a China-Japan relationship that meets the need of the new era”.

“Xi also noted that he deeply regrets Abe’s sudden passing and stands ready to work with Prime Minister Kishida to continue to develop a China-Japan relationship of good-neighbourliness, friendshipand cooperation in accordance with the principles of the four China-Japan political documents,” the MFA said, adding that Mr. Xi and First Lady Peng Liyuan sent a message of condolences to Akie Abe, wife of the former Prime Minister.

Mr. Xi’s message on Saturday followed a day of wide attention on Chinese social media on Mr. Abe’s death. Thousands of messages posted by Chinese social media users celebrated the assassination, while one essay that expressed alarm and revulsion at those messages, and pointed to the impact of decades of anti-Japanese state propaganda, went viral before being censored on WeChat.

“The radical nationalism on show has damaged China’s image internationally and may complicate Beijing’s efforts to improve relations with other countries,” the Hong Kong-based South China Morning Post quoted commentators as saying, noting that many on Chinese social media saw Mr. Abe “as representative of a Japanese right-wing in denial about the country’s war crimes” and hit out at his visits to the Yasukuni shrine that includes honours for war criminals.

Chinese commentators were divided on the reaction with some defending the messages. Nationalist commentator Sima Nan who has a wide following online said, “If we express happiness, foreigners might say we are ruthless and lack humanitarian spirit… but we should do whatever we want.”

Others criticised the responses and said they had damaged China’s image abroad. “Hatred of the West and polarisation among Chinese over certain issues have existed in China for a long time, but the hostile comments over Abe’s death have greatly damaged China’s image,” one political scientist who did not want to be named told The Post. “It is very nasty. The whole world is grieving the death of the assassinated politician.”","Chinese President Xi Jinping sent condolences to Japanese Prime Minister Fumio Kishida following the assassination of former Prime Minister Shinzo Abe. Xi acknowledged Abe's efforts to improve China-Japan relations and expressed readiness to continue collaboration with Kishida to develop a positive bilateral relationship. Despite this, Chinese social media showed a troubling response, with many celebrating Abe's death due to historical grievances, leading to criticism of China's international image. Some commentators defended the reaction, while others criticized it as damaging to China's global reputation.",International News
42,The Hindu,01/07/2022,https://www.thehindu.com/news/national/telangana/three-convicted-of-cheating-get-3-years-jail/article65590706.ece,"Three convicted of cheating, get 3 years’ jail","The XV Additional Metropolitan Magistrate at Ibrahimpatnam on Friday convicted three persons of cheating and criminal breach of trust in a 2009 case involving sale of misappropriated property in Adibatla police limits.

B. Raghu Veera Reddy, P. Shivaji and Kalpana Pal were sentenced to undergo three years’ imprisonment and pay a fine of ₹20,000 each.

According to Adibatla police, one septuagenarian, K. Venkata Ramana of Nadergul was approached by Ms. Pal expressing interest in selling two properties which were under her general power of attorney. The two others, showing photocopies of the said properties, had assured the aggrieved that it was free from adverse encumbrances.

Sale deeds were also executed at the Rangareddy district registrar’s office. However, later a public sector bank wrote on its walls that the property was under equitable mortgage. The aggrieved person was later promised original documents by the fraudsters and was also issued a cheque for the pending loan amount; however, it was dishonoured for want of funds","On Friday, the XV Additional Metropolitan Magistrate in Ibrahimpatnam convicted B. Raghu Veera Reddy, P. Shivaji, and Kalpana Pal for cheating and criminal breach of trust related to a 2009 property sale case. The trio was sentenced to three years in prison and fined ₹20,000 each. They were found guilty of misrepresenting property details and executing fraudulent sale deeds. The property was later found to be under mortgage, and attempts to rectify the situation, including issuing a dishonored cheque, failed.",Crime and Justice
